"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WSFG"
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-01",,,,,,,,,,,,,,,,,,,,"0.75",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-03",,,,,,,,,,,,,,,,,,,,"0.81",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-05",,,,,,,,,,,,,,,,,,,,"0.10",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-06",,,,,,,,,,,,,,,,,,,,"3.88",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-07",,,,,,,,,,,,,,,,,,,,"6.77",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-08",,,,,,,,,,,,,,,,,,,,"2.18",,,,,,,,,
"US1NESN0010","WAHOO 0.4 SE, NE US","41.2116637","-96.6145198","364.8","2023-10",,,,,,,,,,,,,,,,,,,,"1.52",,,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-01",,,,"3","2",,"1",,,,,,,,"2.0","0.65",,,,"0.93","2.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-02",,,,"2","1","7","1",,,,,,,"8","8.0","0.66",,,,"0.69","8.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-03",,,,"4","3",,"0",,,,,,,,"0.5","0.25",,,,"0.81","1.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-04",,,,"9","7",,,,,,,,,,,"0.98",,,,"3.11",,,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-05",,,,"12","10","1","1",,,,,,,"1","4.0","2.12",,,,"5.04","4.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-06",,,,"12","6","0","0",,,,,,,"0","0.0","0.84",,,,"3.30","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-07",,,,"5","2","0","0",,,,,,,"0","0.0","0.66",,,,"0.97","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-08",,,,"7","7","0","0",,,,,,,"0","0.0","1.10",,,,"4.41","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-09",,,,"5","3","0","0",,,,,,,"0","0.0","0.35",,,,"0.74","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-10",,,,"7","5","0","0",,,,,,,"0","0.0","2.39",,,,"3.25","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2013-11",,,,"1","1","1","1",,,,,,,"2","2.0","0.52",,,,"0.52","2.5",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-06",,,,,,"0","0",,,,,,,"0","0.0",,,,,,"0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-07",,,,"8","3","0","0",,,,,,,"0","0.0","0.66",,,,"1.54","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-08",,,,"14","9","0","0",,,,,,,"0","0.0","1.26",,,,"4.35","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-09",,,,"13","8","0","0",,,,,,,"0","0.0","0.85",,,,"3.14","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-10",,,,"7","5","0","0",,,,,,,"0","0.0","0.50",,,,"1.88","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-11",,,,"4","2","6","1",,,,,,,"2","2.7","0.17",,,,"0.39","3.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2014-12",,,,"6","4","6","2",,,,,,,"3","2.0","0.42",,,,"1.49","4.4",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-01",,,,"3","1","19","2",,,,,,,"7","3.1","0.23",,,,"0.36","5.4",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-02",,,,"4","2","12","3",,,,,,,"7","5.4","0.53",,,,"0.69","8.4",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-03",,,,"1","1","0","0",,,,,,,"0","0.0","0.42",,,,"0.42","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-04",,,,"5","3","0","0",,,,,,,"0","0.0","0.62",,,,"1.92","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-05",,,,"20","9","0","0",,,,,,,"0","0.0","0.58",,,,"3.45","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-06",,,,"12","7","0","0",,,,,,,"0","0.0","0.83",,,,"3.00","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-07",,,,"11","9","0","0",,,,,,,"0","0.0","1.12",,,,"4.23","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-08",,,,"9","6","0","0",,,,,,,"0","0.0","1.78",,,,"4.20","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-09",,,,"11","9","0","0",,,,,,,"0","0.0","1.30",,,,"4.03","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-10",,,,"3","3","0","0",,,,,,,"0","0.0","0.41",,,,"0.91","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-11",,,,"9","6","5","1",,,,,,,"7","7.2","0.67",,,,"2.93","7.4",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2015-12",,,,"11","7","12","5",,,,,,,"11","8.4","0.72",,,,"2.94","23.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-01",,,,"6","3","31","2",,,,,,,"8","3.2","0.32",,,,"0.64","5.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-02",,,,"7","4","27","3",,,,,,,"13","12.2","0.55",,,,"1.12","16.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-03",,,,"8","3","4","2",,,,,,,"8","8.0","0.79",,,,"1.76","10.6",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-04",,,,"12","6","0","0",,,,,,,"0","0.0","1.28",,,,"3.92","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-05",,,,"15","9","0","0",,,,,,,"0","0.0","1.09",,,,"4.54","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-06",,,,"7","5","0","0",,,,,,,"0","0.0","0.92",,,,"2.35","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-07",,,,"8","3","0","0",,,,,,,"0","0.0","0.75",,,,"1.69","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-08",,,,"8","8","0","0",,,,,,,"0","0.0","0.73",,,,"2.21","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-09",,,,"8","7","0","0",,,,,,,"0","0.0","1.66",,,,"4.43","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-10",,,,"7","3","0","0",,,,,,,"0","0.0","0.69",,,,"1.38","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-11",,,,"6","4","0","0",,,,,,,"0","0.8","0.69",,,,"1.71","1.1",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2016-12",,,,"8","2","7","1",,,,,,,"2","2.4","0.55",,,,"0.98","3.9",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-01",,,,"10","2","7","2",,,,,,,"9","9.0","0.73",,,,"1.19","14.8",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-02",,,,"2","1","13","1",,,,,,,"7","7.0","0.45",,,,"0.46","7.1",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-03",,,,"7","3","4","1",,,,,,,"4","4.0","1.70",,,,"2.48","4.4",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-04",,,,"8","7","0","0",,,,,,,"0","0.0","0.51",,,,"2.28","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-05",,,,"13","10","0","0",,,,,,,"0","0.0","2.83",,,,"8.11","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-06",,,,"9","6","0","0",,,,,,,"0","0.0","0.90",,,,"2.80","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-07",,,,"5","1","0","0",,,,,,,"0","0.0","0.55",,,,"0.74","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-08",,,,"16","11","0","0",,,,,,,"0","0.0","1.68",,,,"4.77","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-09",,,,"8","6","0","0",,,,,,,"0","0.0","1.67",,,,"4.17","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-10",,,,"10","5","0","0",,,,,,,"0","0.0","2.00",,,,"4.70","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-11",,,,"2","1","0","0",,,,,,,"0","0.0","0.10",,,,"0.17","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2017-12",,,,"5","2","5","2",,,,,,,"4","1.6","0.11",,,,"0.34","4.6",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-01",,,,"4","2","19","3",,,,,,,"9","9.8","0.62",,,,"0.85","12.8",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-02",,,,"10","3","22","3",,,,,,,"6","3.5","0.33",,,,"0.92","10.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-03",,,,"11","5","4","1",,,,,,,"1","1.5","0.59",,,,"2.18","2.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-04",,,,"7","4","4","3",,,,,,,"3","3.0","0.34",,,,"0.89","8.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-05",,,,"15","10","0","0",,,,,,,"0","0.0","1.00",,,,"5.40","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-06",,,,"13","8","0","0",,,,,,,"0","0.0","2.52",,,,"8.99","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-07",,,,"6","5","0","0",,,,,,,"0","0.0","0.85",,,,"2.98","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-08",,,,"11","7","0","0",,,,,,,"0","0.0","1.62",,,,"6.19","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-09",,,,"6","4","0","0",,,,,,,"0","0.0","2.89",,,,"5.13","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-10",,,,"8","5","1","1",,,,,,,"1","1.0","1.21",,,,"3.46","1.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-11",,,,"4","4","1","1",,,,,,,"1","1.0","0.24",,,,"1.30","1.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2018-12",,,,"4","3","20","2",,,,,,,"6","6.6","1.02",,,,"2.05","7.6",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-01",,,,"7","0","0","0",,,,,,,"0","0.5","0.03",,,,"0.15","1.6",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-02",,,,"10","4","20","6",,,,,,,"11","5.8","0.46",,,,"1.39","19.7",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-03",,,,"4","4","13","2",,,,,,,"10","1.5","1.25",,,,"2.51","2.6",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-04",,,,"11","9","0","0",,,,,,,"0","0.2","0.78",,,,"2.84","0.2",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-05",,,,"17","12","0","0",,,,,,,"0","0.0","2.82",,,,"8.67","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-06",,,,"7","5","0","0",,,,,,,"0","0.0","0.85",,,,"2.11","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-07",,,,"11","10","0","0",,,,,,,"0","0.0","2.18",,,,"4.98","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-08",,,,"5","5","0","0",,,,,,,"0","0.0","1.25",,,,"2.08","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-09",,,,"6","6","0","0",,,,,,,"0","0.0","1.01",,,,"3.90","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-10",,,,"5","5","0","0",,,,,,,"0","0.0","1.91",,,,"4.68","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-11",,,,"4","2","1","1",,,,,,,"3","3.0","0.20",,,,"0.35","3.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2019-12",,,,"3","2","3","1",,,,,,,"1","1.2","0.75",,,,"1.16","2.1",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-01",,,,"4","3","19","3",,,,,,,"7","5.0","0.52",,,,"0.93","9.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-02",,,,"1","1","9","1",,,,,,,"4","2.7","0.15",,,,"0.15","2.7",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-03",,,,"4","3","1","1",,,,,,,"2","2.1","1.37",,,,"2.43","2.1",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-04",,,,"4","3","2","1",,,,,,,"2","2.5","0.29",,,,"0.71","2.5",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-05",,,,"10","7","0","0",,,,,,,"0","0.0","0.48",,,,"2.08","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-06",,,,"5","5","0","0",,,,,,,"0","0.0","0.62",,,,"1.72","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-07",,,,"13","9","0","0",,,,,,,"0","0.0","1.15",,,,"4.15","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-08",,,,"6","3","0","0",,,,,,,"0","0.0","0.65",,,,"1.57","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-09",,,,"5","4","0","0",,,,,,,"0","0.0","0.28",,,,"0.72","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-10",,,,"6","3","4","2",,,,,,,"3","2.2","0.29",,,,"0.88","3.4",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-11",,,,"5","4","4","1",,,,,,,"5","5.0","0.42",,,,"1.46","5.3",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2020-12",,,,"3","2","8","2",,,,,,,"4","3.5","0.27",,,,"0.46","5.2",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-01",,,,"6","4","14","2",,,,,,,"4","3.1","0.60",,,,"1.17","5.7",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-02",,,,"3","1","25","1",,,,,,,"5","2.6","0.16",,,,"0.21","3.5",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-03",,,,"4","3","2","1",,,,,,,"2","2.2","1.08",,,,"2.61","2.2",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-04",,,,"6","4","0","0",,,,,,,"0","0.1","0.78",,,,"2.44","0.1",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-05",,,,"10","8","0","0",,,,,,,"0","0.0","0.52",,,,"2.14","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-06",,,,"7","4","0","0",,,,,,,"0","0.0","0.21",,,,"2.17","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-07",,,,"3","3","0","0",,,,,,,"0","0.0","1.48",,,,"3.15","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-08",,,,"7","4","0","0",,,,,,,"0","0.0","1.28",,,,"2.97","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-09",,,,"5","3","0","0",,,,,,,"0","0.0","0.65",,,,"2.54","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-10",,,,"3","3","0","0",,,,,,,"0","0.0","1.59",,,,"3.99","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-11",,,,"1","1","0","0",,,,,,,"0","0.0","0.19",,,,"0.19","0.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2021-12",,,,"2","2","3","1",,,,,,,"3","3.0","0.55",,,,"0.80","3.0",,,,,,,,
"USC00130088","AKRON, IA US","42.8258","-96.5514","365.2","2022-03",,,,"5","3",,,,,,,,,,,"0.34",,,,"1.12",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-01",,,,"5","2","17",,,,,,,,"2",,"0.11",,,,"0.30",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-02",,,,"5","1",,,,,,,,,,,"0.47",,,,"0.58",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-03",,,,"8","4",,,,,,,,,,,"0.80",,,,"2.54",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-04",,,,"10","10",,,,,,,,,,,"0.94",,,,"3.87",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-05",,,,"13","9",,,,,,,,,,,"1.96",,,,"6.40",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-06",,,,"9","7",,,,,,,,,,,"1.01",,,,"3.50",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-07",,,,"8","3",,,,,,,,,,,"1.54",,,,"2.26",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-08",,,,"5","4",,,,,,,,,,,"1.86",,,,"3.83",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-09",,,,"7","6",,,,,,,,,,,"0.34",,,,"1.29",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-10",,,,"8","6",,,,,,,,,,,"1.81",,,,"5.72",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-11",,,,"1","1",,,,,,,,,,,"1.15",,,,"1.15",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2013-12",,,,"2","1",,,,,,,,,,,"0.13",,,,"0.19",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-01",,,,"3","0",,,,,,,,,,,"0.07",,,,"0.10",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-02",,,,"6","2","11",,,,,,,,"3",,"0.16",,,,"0.39",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-03",,,,"6","1",,,,,,,,,,,"0.26",,,,"0.44",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-04",,,,"7","7",,,,,,,,,,,"1.00",,,,"3.19",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-05",,,,"9","7",,,,,,,,,,,"2.62",,,,"8.23",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-06",,,,"9","8",,,,,,,,,,,"1.92",,,,"8.06",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-07",,,,"5","5",,,,,,,,,,,"0.24",,,,"0.74",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-08",,,,"12","10",,,,,,,,,,,"4.62",,,,"9.13",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-09",,,,"9","7",,,,,,,,,,,"2.00",,,,"4.63",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-10",,,,"3","3",,,,,,,,,,,"1.22",,,,"2.89",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-11",,,,"3","1",,,,,,,,,,,"0.21",,,,"0.33",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2014-12",,,,"5","3",,,,,,,,,,,"0.51",,,,"1.00",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-01",,,,"3","1",,,,,,,,,,,"0.10",,,,"0.14",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-02",,,,"4","2",,,,,,,,,,,"0.80",,,,"1.01",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-03",,,,"4","3",,,,,,,,,,,"0.30",,,,"0.55",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-04",,,,"10","7",,,,,,,,,,,"1.12",,,,"3.40",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-05",,,,"15","14",,,,,,,,,,,"2.16",,,,"8.87",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-06",,,,"8","8",,,,,,,,,,,"1.90",,,,"6.18",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-07",,,,"10","8",,,,,,,,,,,"2.52",,,,"4.67",,,,,,,,,
"USC00256922","PRAGUE, NE US","41.3061","-96.8055","410.0","2015-08",,,,"11","9",,,,,,,,,,,"2.80",,,,"8.04",,,,,,,,,
"US10saun012","WAHOO 1.6 NE, NE US","41.231109","-96.603481",,"2017-06",,,,"3","3",,,,,,,,,,,"1.26",,,,"2.54",,,,,,,,,
"US10saun012","WAHOO 1.6 NE, NE US","41.231109","-96.603481",,"2017-07",,,,"2","2",,,,,,,,,,,"0.66",,,,"1.19",,,,,,,,,
"US10saun012","WAHOO 1.6 NE, NE US","41.231109","-96.603481",,"2017-08",,,,"2","2",,,,,,,,,,,"1.71",,,,"2.00",,,,,,,,,
"USW00003887","DECATUR AIRPORT, IL US","39.83079","-88.87192","205.1","2013-01","11.4","0","0","8","5",,,"0","27","9","0","0","4",,,"1.00","65","3012","1041","2.15",,"29.5","39.3","19.6","200",,"46.1",,
"USW00003887","DECATUR AIRPORT, IL US","39.83079","-88.87192","205.1","2013-02","11.4","0","0","9","5",,,"0","26","8","0","0","5",,,"0.99","58","3957","945","2.49",,"31.3","38.8","23.7","210","200","36.9","47",
"USW00003887","DECATUR AIRPORT, IL US","39.83079","-88.87192","205.1","2013-03","10.7","0","0","9","1",,,"0","26","3","0","0","15",,,"0.26","62","4869","912","0.49",,"35.6","43.4","27.7","30",,"31.1",,
"USW00003887","DECATUR AIRPORT, IL US","39.83079","-88.87192","205.1","2013-04","11.2","9","9","13","7",,,"0","5","0","10","0","25",,,"2.39","83","5289","420","6.60",,"51.3","62.2","40.5","230","220","38.0","53",
"USW00003887","DECATUR AIRPORT, IL US","39.83079","-88.87192","205.1","2013-05","9.6","108","99","17","14",,,"0","0","0","18","0","36",,,"1.09","87","5406","118","6.63",,"64.4","74.6","54.2","210","190","40.9","58",
"USW00003887","DECATUR AIRPORT, IL US","39.83079","-88.87192","205.1","2013-06","8.3","340","232","11","7",,,"0","0","0","28","5","48",,,"1.64","94","5421","15","5.04",,"72.2","82.0","62.5","250","260","30.0","40",
