"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","MNPN","MXPN","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WSF2","WSF5","WSFG"
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-03",,"0","0","10","6",,,"0","11","0","4","0","14",,,"0.69","76","4281","538",,,"2.57",,"47.6","60.8","34.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-04",,"0","0","3","2",,,"0","15","0","7","0","23",,,"0.45","84","4740","459",,,"0.66",,"48.6","63.7","33.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-05",,"27","27","6","3","0","0","0","5","0","28","0","29","0","0.0","0.78","89","4928","188",,,"1.30","0.0","59.8","76.3","43.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-06",,"242","215","2","0",,,"0","0","0","29","16","35",,,"0.05","113","4949","20",,,"0.07",,"71.8","91.3","52.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-07",,"549","306","2","0",,,"0","0","0","31","20","41",,,"0.07","106","4","4",,,"0.12",,"74.7","93.8","55.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-08",,"762","213","2","0",,,"0","0","0","28","19","41",,,"0.08","108","15","11",,,"0.10",,"72.2","92.0","52.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-09",,"780","18","2","1",,,"0","3","0","23","3","28",,,"0.65","95","197","182",,,"0.67",,"59.1","76.2","42.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-10",,,,,,"0","0",,,,,,,"0","0.0",,,,,,,,"0.0",,,,,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-11",,,"0","9","5",,,"0","20","3","0","0","7",,,"0.23","62",,"835",,,"1.03",,"36.2","44.6","27.8",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2015-12",,,"0","20","12",,,"0","22","7","0","0","12",,,"1.16","62",,"987",,,"4.59",,"33.2","39.7","26.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-01",,"0","0","18","9",,,"0","18","4","0","0","2",,,"0.40","55",,"897",,,"2.09",,"34.1","40.8","27.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-02",,"0","0","8","5",,,"0","15","0","0","0","19",,,"0.26","62",,"665",,,"1.07",,"41.3","51.6","30.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-03",,"0","0","16","9","0","0","0","12","0","0","0","18","0","0.5","1.50","69",,"625",,,"3.62","0.5","44.1","55.5","32.8",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-04",,"0","0","7","3","0","0","0","4","0","14","0","27","0","0.0","0.16","87",,"297",,,"0.54","0.0","54.7","70.4","39.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-05",,"3","3","6","4","0","0","0","1","0","23","0","29","0","0.0","0.65","86",,"203",,,"1.28","0.0","58.5","73.5","43.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-06",,"101","98","5","1","0","0","0","0","0","29","9","36","0","0.0","0.41","99",,"71",,,"0.54","0.0","65.9","83.5","48.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-07",,"260","160","4","3","0","0","0","0","0","31","14","43","0","0.0","0.27","102","9","9",,,"0.66","0.0","69.9","87.8","51.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-08",,"438","178","3","0","0","0","0","0","0","31","20","39","0","0.0","0.03","98","17","8",,,"0.06","0.0","70.5","91.0","49.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-09",,"448","10","6","2","0","0","0","4","0","25","1","28","0","0.0","0.19","93","193","176",,,"0.46","0.0","59.5","76.3","42.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-10",,"448","0","24","13","0","0","0","3","0","2","0","26","0","0.0","0.78","76","616","423",,,"4.00","0.0","51.3","60.7","42.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-11",,"448","0","11","6","0","0","0","9","0","1","0","20","0","0.0","0.53","71","1193","577",,,"1.38","0.0","45.1","55.1","35.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2016-12",,"448","0","11","7","24","6","6","27","11","0","0","-21","6","3.0","0.28","48","2432","1239",,,"1.69","13.8","22.3","32.2","12.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-01",,"0","0","15","10","24","8","10","30","20","0","0","-17","10","5.0","0.40","46","3894","1462",,,"1.99","15.2","17.8","26.6","9.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-02",,"0","0","15","10","10","3","2","25","5","0","0","-3","3","3.0","0.62","51","4901","1007",,,"2.90","6.5","29.0","37.7","20.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-03",,"0","0","21","12",,,"0","18","0","0","0","20",,,"0.64","62","5650","749",,,"3.61",,"40.8","50.4","31.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-04",,"0","0","10","4",,,"0","16","0","1","0","19",,,"0.22","71","6232","582",,,"0.74",,"45.6","58.7","32.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-05",,"2","2","6","3",,,"0","6","0","19","1","24",,,"0.27","90","6564","332",,,"0.61",,"54.4","70.8","37.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-06",,"49","47","5","4",,,"0","3","0","27","3","30",,,"0.21","94","6702","138",,,"0.67",,"62.0","78.6","45.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-07",,"141","93","0","0",,,"0","0","0","31","15","35",,,"0.00","100","21","21",,,"0.00",,"67.3","90.1","44.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-08",,"241","99","1","0",,,"0","0","0","31","15","34",,,"0.03","96","62","41",,,"0.03",,"66.9","88.3","45.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-09",,"277","36","5","2",,,"0","2","0","21","5","25",,,"0.43","95","254","192",,,"0.80",,"59.8","75.9","43.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-10",,"277","0","8","5",,,"0","21","0","0","0","17",,,"0.50","66","884","630",,,"1.81",,"44.0","57.3","30.8",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-11",,"277","0","13","7",,,"0","21","0","0","0","16",,,"0.70","61","1713","829",,,"2.25",,"37.4","45.7","29.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2017-12",,"277","0","11","5",,,"0","30","19","0","0","4",,,"1.53","43","2943","1230",,,"2.91",,"25.3","31.3","19.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-01",,"0","0","12","3",,,"0","28","4","0","0","15",,,"0.74","56","3923","980",,,"1.85",,"33.4","40.2","26.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-02",,"0","0","9","5",,,"1","22","6","0","0","-2",,,"0.44","55","4867","944",,,"1.35",,"31.3","40.4","22.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-03",,"0","0","8","5",,,"0","25","0","0","0","17",,,"0.45","65","5683","816",,,"1.36",,"38.7","50.7","26.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-04",,"0","0","9","3",,,"0","13","0","5","0","17",,,"0.50","82","6259","576",,,"1.24",,"45.8","59.2","32.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-05",,"0","0","5","4",,,"0","4","0","23","0","26",,,"0.24","82","6478","220",,,"0.75",,"57.9","73.4","42.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-06",,"2","2","5","1",,,"0","5","0","26","0","26",,,"0.11","84","6681","202",,,"0.18",,"58.4","75.5","41.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-07",,"183","180","0","0","0","0","0","0","0","31","17","37","0","0.0","0.00","102","31","31",,,"0.00","0.0","69.8","90.7","49.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-08",,,,"1","1","0","0",,,,,,,"0","0.0","0.12",,,,,,"0.12","0.0",,,,,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-09",,,"4","2","0","0","0","0","3","0","24","0","30","0","0.0","0.03","89",,"227",,,"0.04","0.0","57.5","75.2","39.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-10",,,"0","7","1",,,"0","20","0","4","0","19",,,"0.17","72",,"567",,,"0.37",,"46.7","62.7","30.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-11",,,"0","10","8",,,"0","20","1","0","0","13",,,"0.57","64",,"819",,,"1.68",,"37.7","48.3","27.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2018-12",,,"0","13","5",,,"0","22","5","0","0","13",,,"0.70","53",,"951",,,"2.12",,"34.3","40.9","27.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-01",,"0","0","9","6",,,"0","22","6","0","0","15",,,"0.57","51",,"931",,,"1.74",,"35.0","41.1","28.8",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-02",,"0","0","16","9",,,"1","26","17","0","0","-3",,,"0.55","46",,"1106",,,"2.10",,"25.5","32.4","18.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-03",,"0","0","5","2",,,"1","23","6","0","0","-6",,,"0.35","64",,"968",,,"0.64",,"33.8","44.6","22.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-04",,"0","0","8","4",,,"0","5","0","5","0","28",,,"0.28","75",,"423",,,"1.19",,"50.9","62.5","39.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-05",,"4","4","3","3",,,"0","3","0","24","0","28",,,"0.25","86",,"213",,,"0.58",,"58.3","74.1","42.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-06",,"75","70","3","2",,,"0","0","0","27","5","37",,,"0.26","93",,"64",,,"0.43",,"65.2","81.8","48.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-07",,"177","102","4","0","0","0","0","0","0","31","5","39","0","0.0","0.02","97","7","7",,,"0.06","0.0","68.1","86.1","50.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-08",,"368","192","4","1",,,"0","0","0","31","14","41",,,"0.12","103","10","2",,,"0.20",,"71.1","88.9","53.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-09",,"419","51","7","3",,,"0","1","0","23","3","29",,,"0.40","92","161","151",,,"0.89",,"61.6","75.3","48.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-10",,"419","0","5","3",,"0","0","15","0","2","0","14",,"0.0","1.20","71","771","610",,,"1.48","0.0","45.3","57.4","33.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-11",,"419","0","4","2",,"0","0","23","1","0","0","9",,"0.0","0.12","59","1602","831",,,"0.37","0.0","37.3","47.7","26.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019-12",,"419","0","10","5",,"0","0","24","1","0","0","20",,"0.5","0.28","58","2515","913",,,"1.17","1.0","35.5","41.5","29.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-01",,"0","0","12","9",,"1","0","11","2","0","0","4",,"5.0","0.42","61","3349","834",,,"2.05","5.0","38.1","45.0","31.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-02",,"0","0","7","4",,,"0","18","0","0","0","13",,,"0.63","66","4130","781",,,"1.50",,"38.1","48.1","28.0",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-03",,"0","0","5","2",,,"0","19","0","0","0","16",,,"0.37","63","4880","750",,,"0.80",,"40.8","53.6","28.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-04",,"0","0","4","0",,,"0","17","0","8","0","9",,,"0.09","81","5385","505",,,"0.19",,"48.2","64.5","31.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-05",,"16","16","8","6",,,"0","3","0","15","0","24",,,"1.44","89","5638","253",,,"3.43",,"57.3","71.0","43.6",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-06",,"70","55","7","4",,,"0","0","0","23","5","37",,,"0.40","95","5754","117",,,"1.12",,"62.9","78.2","47.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-07",,"253","183","1","0",,,"0","0","0","31","15","36",,,"0.07","105","22","22",,,"0.07",,"70.2","90.0","50.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-08",,"454","200","1","0",,,"0","0","0","31","17","38",,,"0.03","107","34","12",,,"0.03",,"71.1","90.4","51.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-09",,"493","40","1","1",,,"0","1","0","28","8","32",,,"0.10","99","117","83",,,"0.10",,"63.5","82.5","44.5",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-10",,"495","1","3","3",,,"0","12","0","9","0","10",,,"0.21","87","598","481",,,"0.51",,"49.5","63.8","35.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-11",,"495","0","9","8",,,"0","18","0","0","0","11",,,"0.47","68","1340","742",,,"1.96",,"40.3","49.4","31.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2020-12",,"495","0","10","6",,,"0","24","3","0","0","14",,,"0.55","56","2310","970",,,"1.59",,"33.7","40.7","26.7",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-01",,"0","0","11","5",,,"0","18","1","0","0","19",,,"0.22","61","3152","842",,,"1.17",,"37.8","44.4","31.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-02",,"0","0","9","6",,,"0","22","7","0","0","7",,,"0.20","61","4067","915",,,"0.94",,"32.3","39.5","25.1",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-03",,"0","0","4","1",,,"0","23","0","1","0","10",,,"0.13","70","4752","684",,,"0.29",,"42.9","57.5","28.4",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-04",,"0","0","1","1",,,"0","15","0","9","0","11",,,"0.20","83","5242","491",,,"0.20",,"48.6","66.1","31.2",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-05",,"7","7","2","2",,,"0","4","0","22","0","26",,,"0.40","88","5510","267",,,"0.53",,"56.6","74.3","38.9",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-06",,"264","257","3","1","0","0","0","0","0","28","16","36","0","0.0","0.49","113","5564","55",,,"0.59","0.0","71.7","89.2","54.3",,,,,,,
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2021-07",,"593","329","1","0",,,"0","0","0","31","27","40",,,"0.02","108","2","2",,,"0.02",,"75.6","95.8","55.3",,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2021-06",,,,"6","2",,,,,,,,,,,"0.32",,,,,,"0.63",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2021-08",,,,,,,,,,,,,,,,,,,,,,"0.38",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2021-09",,,,"5","3",,,,,,,,,,,"0.41",,,,,,"0.89",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2021-10",,,,"18","5",,,,,,,,,,,"0.47",,,,,,"1.82",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2021-11",,,,"20","15",,,,,,,,,,,"0.75",,,,,,"3.97",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2021-12",,,,"25","12",,,,,,,,,,,"0.48",,,,,,"4.48",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-01",,,,"13","7",,,,,,,,,,,"0.72",,,,,,"2.91",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-02",,,,"11","4",,"2",,,,,,,,"1.5","0.18",,,,,,"0.83","4.6",,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-04",,,,"18","7",,,,,,,,,,,"0.50",,,,,,"2.59",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-05",,,,"18","7",,,,,,,,,,,"0.57",,,,,,"2.55",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-06",,,,"11","8",,,,,,,,,,,"0.67",,,,,,"3.98",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-09",,,,"6","3",,,,,,,,,,,"0.70",,,,,,"1.80",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-10",,,,"7","4",,,,,,,,,,,"0.68",,,,,,"1.41",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-11",,,,"13","9",,"6",,,,,,,,"3.5","1.49",,,,,,"5.26","14.7",,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2022-12",,,,"22","12","28",,,,,,,,"9",,"0.81",,,,,,"4.11",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-01",,,,"15","5",,,,,,,,,,,"0.23",,,,,,"1.20",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-02",,,,"14","3",,,,,,,,,,,"0.20",,,,,,"0.85",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-04",,,,"14","6",,,,,,,,,,,"0.37",,,,,,"1.93",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-06",,,,"3","0",,,,,,,,,,,"0.02",,,,,,"0.44",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-08",,,,"9","4",,,,,,,,,,,"0.29",,,,,,"0.86",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-09",,,,"9","4",,,,,,,,,,,"0.29",,,,,,"1.06",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-11",,,,"16","7",,,,,,,,,,,"0.58",,,,,,"2.37",,,,,,,,,,,
"US1WAWM0016","PULLMAN 3.0 ESE, WA US","46.71899","-117.101612","791.3","2023-12",,,,"17","10",,,,,,,,,,,"0.92",,,,,,"3.00",,,,,,,,,,,
"US1WAWM0017","ST JOHN 0.2 NW, WA US","47.090335","-117.583787","599.2","2022-03",,,,"12","6",,,,,,,,,,,"0.44",,,,,,"1.60",,,,,,,,,,,
"US1WAWM0017","ST JOHN 0.2 NW, WA US","47.090335","-117.583787","599.2","2022-04",,,,"13","9",,"2",,,,,,,,"1.7","0.33",,,,,,"1.88","3.8",,,,,,,,,,
"US1WAWM0017","ST JOHN 0.2 NW, WA US","47.090335","-117.583787","599.2","2022-05",,,,"16","8",,,,,,,,,,,"0.37",,,,,,"1.82",,,,,,,,,,,
"US1WAWM0017","ST JOHN 0.2 NW, WA US","47.090335","-117.583787","599.2","2022-06",,,,"11","8",,,,,,,,,,,"0.86",,,,,,"3.22",,,,,,,,,,,
"US1WAWM0017","ST JOHN 0.2 NW, WA US","47.090335","-117.583787","599.2","2022-07",,,,"5","3",,"0",,,,,,,,"0.0","0.35",,,,,,"0.69","0.0",,,,,,,,,,
"US1WAWM0017","ST JOHN 0.2 NW, WA US","47.090335","-117.583787","599.2","2022-08",,,,"3","0",,"0",,,,,,,,"0.0","0.05",,,,,,"0.09","0.0",,,,,,,,,,
