"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2013-12",,,"0","1,7","12",",7","1",",7","31",",7","8","2,7","21","1,7","30","1,7","28","1,7","0","1,7","0","1,7","-29","1,7,24,+","10",",,7,16,","3.0","2,,7,04,","0.12",",,7,20,","37","1,7,28,",,,"1895","1,7","0.45",",,,7","11.9","2,,,7","1.8","1,7","11.3","1,,,7","-7.6","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-01","0","7","0",",7","6",",7","3",",7","31",",7",,,"21",",7","31",",7","23",",7","0",",7","0",",7","-30",",7,03,+","9",",,7,28,+",,,"0.31",",,7,26,","40",",7,16,",,,"1894",",7","0.77",",,,7",,,"3.9",",7","15.8",",,,7","-8.0",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-02","0","7","0",",7","3",",7","0",",7","28",",7",,,"25",",7","28",",7","25",",7","0",",7","0",",7","-21",",7,10,","7",",,7,17,+",,,"0.08",",,7,13,","36",",7,18,",,,"1768",",7","0.11",",,,7",,,"1.8",",7","12.5",",,,7","-8.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-03","0","7","0",",7","3",",7","3",",7","29",",7",,,"4",",7","30",",7","16",",7","0",",7","0",",7","-27",",7,01,","6",",,7,31,",,,"0.52",",,7,31,","58",",7,30,",,,"1407",",7","0.89",",,,7",,,"19.6",",7","29.1",",,,7","10.1",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-04","0","7","0",",7","9",",7","5",",7","7",",7",,,"0",",7","27",",7","3",",7","2",",7","0",",7","1",",7,01,","7",",,7,03,+",,,"0.68",",,7,29,","75",",7,21,",,,"888",",7","1.75",",,,7",,,"35.4",",7","46.7",",,,7","24.0",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-05","36","7","36",",7","9",",7","7",",7",,,,,"0",",7","8",",7","0",",7","11",",7","1",",7","26",",7,15,",,,,,"0.67",",,7,11,","91",",7,30,",,,"423",",7","2.15",",,,7",,,"52.5",",7","64.3",",,,7","40.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-06","58","7","21",",7","10",",7","9",",7",,,,,"0",",7","0",",7","0",",7","22",",7","0",",7","41",",7,12,",,,,,"1.08",",,7,02,","84",",7,22,",,,"102",",7","4.39",",,,7",,,"62.3",",7","72.2",",,,7","52.4",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-07","142","7","84",",7","6",",7","4",",7",,,,,"0",",7","0",",7","0",",7","28",",7","2",",7","46",",7,02,",,,,,"0.18",",,7,22,","92",",7,06,","45","7","45",",7","0.69",",,,7",,,"66.3",",7","78.2",",,,7","54.4",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-08","263","7","121","1,7","7","1,7","4","1,7",,,,,"0","1,7","0","1,7","0","1,7","27","1,7","0","1,7","42","1,7,30,",,,,,"1.01","1,,7,17,","88","1,7,13,","92","7","48","1,7","2.45","1,,,7",,,"67.5","1,7","78.9","1,,,7","56.0","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-09","291","7","27",",7","5",",7","2",",7",,,,,"0",",7","0",",7","0",",7","18",",7","2",",7","34",",7,15,",,,,,"0.36",",,7,29,","93",",7,26,","326","7","233",",7","0.72",",,,7",,,"58.2",",7","71.3",",,,7","45.0",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-10","291","7","0",",7","5",",7","1",",7",,,,,"0",",7","9",",7","0",",7","4",",7","0",",7","14",",7,31,",,,,,"0.46",",,7,01,","76",",7,16,","926","7","600",",7","0.64",",,,7",,,"45.6",",7","57.7",",,,7","33.6",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2014-12",,,"0",",7","1",",7","0",",7","31",",",,,"14",",7","31",",7","26",",7","0",",7","0",",7","-21",",7,02,+","5",",,7,01,",,,"0.05",",,7,21,","44",",7,13,",,,"1567",",7","0.05",",,,7",,,"14.4",",7","23.4",",,,7","5.5",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-01","0","7","0",",7","4",",7","1",",7","31",",7",,,"12",",7","31",",7","20",",7","0",",7","0",",7","-22",",7,13,+","4",",,7,22,+",,,"0.15",",,7,25,","41",",7,28,",,,"1620",",7","0.28",",,,7",,,"12.7",",7","22.2",",,,7","3.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-02","0","7","0","1,7","5",",7","2",",7","28",",7",,,"20",",7","28",",7","26","1,7","0","1,7","0","1,7","-30",",7,22,","5",",,7,26,+",,,"0.16",",,7,10,","35","1,7,08,",,,"1664","1,7","0.39",",,,7",,,"3.1","1,7","14.2","1,,,7","-7.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-03","0","7","0","1,7","3","1,7","1","1,7","15",",",,,"5","1,7","28","1,7","7","1,7","0","1,7","0","1,7","-17","1,7,05,","4",",,7,07,+",,,"0.14","1,,7,25,","67","1,7,15,",,,"1082","1,7","0.17","1,,,7",,,"28.9","1,7","40.3","1,,,7","17.5","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-04","0","7","0",",7","4",",7","2",",7",,,,,"0",",7","21",",7","1",",7","5",",7","0",",7","13",",7,03,",,,,,"0.19",",,7,26,+","76",",7,16,",,,"685",",7","0.54",",,,7",,,"42.2",",7","55.9",",,,7","28.4",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-05","1","7","1",",7","11",",7","7",",7",,,,,"0",",7","7",",7","0",",7","14",",7","0",",7","27",",7,19,",,,,,"1.32",",,7,18,","83",",7,27,",,,"411",",7","2.91",",,,7",,,"51.8",",7","64.0",",,,7","39.5",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-06","61","7","59",",7","9",",7","5",",7",,,,,"0",",7","0",",7","0",",7","23",",7","0",",7","43",",7,16,",,,,,"1.49",",,7,06,","88",",7,30,",,,"70",",7","2.88",",,,7",,,"64.7",",7","76.5",",,,7","52.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-07","231","7","170",",7","9",",7","6",",7",,,,,"0",",7","0",",7","0",",7","31",",7","4",",7","44",",7,07,",,,,,"0.92",",,7,08,","94",",7,27,","22","7","22",",7","3.02",",,,7",,,"69.8",",7","82.1",",,,7","57.5",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-08","366","7","135",",7","1",",7","1",",7",,,,,"0",",7","0",",7","0",",7","29",",7","8",",7","39",",7,25,+",,,,,"1.15",",,7,23,","100",",7,16,+","79","7","57",",7","1.15",",,,7",,,"67.5",",7","83.1",",,,7","51.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-09","420","7","53","2,7","4",",7","2",",7",,,,,"0","2,7","1","2,7","0","2,7","21","2,7","4","2,7","31","2,7,30,",,,,,"1.23",",,7,06,","102","2,7,04,","230","7","151","2,7","1.64",",,,7",,,"61.5","2,7","76.2","2,,,7","46.8","2,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-10","422","7","2",",7","8",",7","3",",7",,,,,"0",",7","13",",7","0",",7","5",",7","0",",7","25",",7,27,+",,,,,"0.66",",,7,23,","84",",7,11,","796","7","566",",7","1.57",",,,7",,,"46.8",",7","58.5",",,,7","35.1",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-11","422","7","0",",7","4",",7","0",",7",,,,,"0",",7","25",",7","7",",7","0",",7","0",",7","1",",7,28,+",,,,,"0.09",",,7,06,","62",",7,02,","1795","7","999",",7","0.21",",,,7",,,"31.7",",7","42.1",",,,7","21.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2015-12","422","7","0","1,7","4",",7","2",",7",,,,,"6","1,7","29","1,7","20",",7","0",",7","0",",7","-17","1,7,27,",,,,,"0.36",",,7,23,","61",",7,10,","3166","7","1371",",7","0.58",",,,7",,,"19.5","1,7","27.4",",,,7","11.4","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-01","0","7","0",",7","3",",7","1",",7","31",",7","4",",7","11",",7","31",",7","25",",7","0",",7","0",",7","-23",",7,17,","7",",,7,22,+","2.0",",,7,15,+","0.12",",,7,14,","39",",7,30,+","4804","7","1638",",7","0.21",",,,7","6.0",",,,7","12.2",",7","20.1",",,,7","4.2",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-02","0","7","0",",7","5",",7","2",",7","25",",7","3",",7","3",",7","29",",7","16",",7","0",",7","0",",7","-10",",7,13,","4",",,7,16,+","2.0",",,7,14,+","0.15",",,7,14,","50",",7,27,","6018","7","1214",",7","0.36",",,,7","5.5",",,,7","23.1",",7","31.6",",,,7","14.7",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-03","0","7","0","1,7","5",",7","2",",7",,,,,"1","1,7","28","1,7","5",",7","0",",7","0",",7","-1","1,7,01,",,,,,"0.28",",,7,31,+","69",",7,15,","6968","7","950",",7","0.65",",,,7",,,"33.5","1,7","45.6",",,,7","21.3","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-04","0","7","0",",7","9",",7","6",",7",,,,,"0",",7","17",",7","0",",7","1",",7","0",",7","17",",7,11,",,,,,"0.83",",,7,17,","71",",7,21,","7730","7","762",",7","2.83",",,,7",,,"39.6",",7","50.2",",,,7","29.0",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-05","13","7","13",",7","7",",7","5",",7","0",",7","0",",7","0",",7","3",",7","0",",7","19",",7","1",",7","30",",7,01,","0",",,7,31,+","0.0",",,7,31,+","1.07",",,7,31,","90",",7,06,","7996","7","266",",7","2.29",",,,7","0.0",",,,7","56.8",",7","69.8",",,,7","43.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-06","74","7","61",",7","8",",7","5",",7","0",",7","0",",7","0",",7","0",",7","0",",7","24",",7","1",",7","43",",7,02,","0",",,7,30,+","0.0",",,7,30,+","0.82",",,7,12,","91",",7,10,","8068","7","72",",7","2.97",",,,7","0.0",",,,7","64.6",",7","76.4",",,,7","52.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-07","213","7","139",",7","13",",7","7",",7",,,,,"0",",7","0",",7","0",",7","28",",7","5",",7","47",",7,01,",,,,,"1.81",",,7,23,","95",",7,21,","27","7","27",",7","4.66",",,,7",,,"68.6",",7","80.6",",,,7","56.6",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-08","343","7","130",",7","5",",7","2",",7",,,,,"0",",7","0",",7","0",",7","31",",7","6",",7","45",",7,26,",,,,,"0.94",",,7,18,","95",",7,18,+","52","7","25",",7","1.26",",,,7",,,"68.4",",7","83.4",",,,7","53.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-09","362","7","18",",7","11",",7","7",",7","0",",7","0",",7","0",",7","0",",7","0",",7","14",",7","0",",7","34",",7,14,","0",",,7,30,+","0.0",",,7,30,+","0.89",",,7,16,","86",",7,02,","290","7","238",",7","3.56",",,,7","0.0",",,,7","57.7",",7","69.6",",,,7","45.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-10","362","7","0","1,7","8",",7","3",",7","0",",7","0",",7","0","1,7","15","1,7","0",",7","3",",7","0",",7","23","1,7,30,+","0",",,7,31,+","0.0",",,7,31,+","0.71",",,7,04,","77",",7,04,+","927","7","636",",7","1.13",",,,7","0.0",",,,7","44.2","1,7","54.3",",,,7","34.1","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-11","362","7","0",",7","4",",7","1",",7",,,,,"0",",7","24",",7","4",",7","3",",7","0",",7","7",",7,20,+",,,,,"0.12",",,7,28,","73",",7,06,","1739","7","812",",7","0.32",",,,7",,,"37.9",",7","49.1",",,,7","26.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2016-12","362","7","0",",7","1","4,7","1","4,7","31",",7","4",",7","14",",7","31",",7","30",",7","0",",7","0",",7","-28",",7,18,","29",",,7,28,+","10.0",",,7,06,","0.18","4,,7,11,","35",",7,21,","3532","7","1793",",7","0.85",",a,,7","27.0",",,,7","7.2",",7","15.4",",,,7","-1.0",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-01","0","7","0","2,7","3","1,7","0","1,7",,,,,"14","1,7","30","1,7","24","2,7","0","2,7","0","2,7","-29","1,7,13,",,,,,"0.07","1,,7,10,","40","2,7,19,","5181","7","1649","2,7","0.14","1,,,7",,,"8.5","2,7","16.0","2,,,7","0.9","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-02","0","7","0",",7","4",",7","0",",7","28",",7","3",",7","13",",7","28",",7","15",",7","0",",7","0",",7","-22",",7,09,+","22",",,7,09,+","2.0",",,7,26,+","0.08",",,7,07,","45",",7,17,","6540","7","1359",",7","0.16",",,,7","5.0",",,,7","16.5",",7","26.6",",,,7","6.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-03","0","7","0",",7","4",",7","0",",7",,,"3",",7","8",",7","28",",7","13",",7","0",",7","0",",7","-13",",7,12,",,,"3.0",",,7,11,+","0.08",",,7,31,+","58",",7,29,","7846","7","1306",",7","0.23",",,,7","7.0",",,,7","22.9",",7","32.2",",,,7","13.5",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-04","0","7","0","1,7","6",",7","1",",7","2",",7","1",",7","0","1,7","20","1,7","1","1,7","2","1,7","0","1,7","22","1,7,18,+","2",",,7,25,+","2.0",",,7,24,","0.18",",,7,16,","75","1,7,15,","8527","7","681","1,7","0.50",",,,7","2.0",",,,7","41.5","1,7","53.8","1,,,7","29.2","1,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-05","0","7","0",",7","7",",7","4",",7",,,,,"0",",7","2",",7","0",",7","12",",7","0",",7","29",",7,09,",,,,,"0.25",",,7,16,","86",",7,14,","8858","7","331",",7","0.76",",,,7",,,"54.3",",7","68.2",",,,7","40.5",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-06","61","7","60",",7","9",",7","6",",7","0",",7","0",",7","0",",7","0",",7","0",",7","26",",7","3",",7","37",",7,26,","0",",,7,30,+","0.0",",,7,30,+","0.59",",,7,30,","94",",7,03,","8940","7","82",",7","1.68",",,,7","0.0",",,,7","64.3",",7","77.6",",,,7","50.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-07","288","7","227",",7","6",",7","2",",7",,,,,"0",",7","0",",7","0",",7","30",",7","12",",7","49",",7,01,",,,,,"1.00",",,7,17,","98",",7,15,","9","7","9",",7","1.27",",,,7",,,"72.0",",7","85.9",",,,7","58.2",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-08","345","7","57",",7","5",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","3",",7","45",",7,23,+","0",",,7,31,+","0.0",",,7,31,+","1.21",",,7,03,","95",",7,01,","45","7","35",",7","2.01",",,,7","0.0",",,,7","65.7",",7","79.5",",,,7","51.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-09","379","7","33",",7","5",",7","5",",7",,,,,"0",",7","0",",7","0",",7","15",",7","2",",7","36",",7,18,+",,,,,"0.81",",,7,16,","98",",7,13,","283","7","238",",7","1.60",",,,7",,,"58.2",",7","71.0",",,,7","45.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-10","379","7","0","2,7","3",",7","0",",7",,,,,"0","2,7","17","2,7","1","2,7","4","2,7","0","2,7","14","2,7,31,+",,,,,"0.08",",,7,22,","79","2,7,20,","908","7","625","2,7","0.10",",,,7",,,"43.4","2,7","57.0","2,,,7","29.9","2,,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-11","379","7","0",",7","7",",7","1",",7",,,"4",",7","3",",7","30",",7","15",",7","0",",7","0",",7","-4",",7,09,",,,"5.0",",,7,04,","0.32",",,7,04,","58",",7,24,","2152","7","1243",",7","0.57",",,,7","8.0",",,,7","23.5",",7","33.2",",,,7","13.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2017-12","379","7","0",",7","4",",7","1",",7","12",",7","3",",7","10",",7","31",",7","16",",7","0",",7","0",",7","-33",",7,31,","5",",,7,21,","4.0",",,7,21,","0.17",",,7,21,","50",",7,03,","3724","7","1572",",7","0.28",",,,7","7.0",",,,7","14.3",",7","24.0",",,,7","4.6",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-01","0","7","0",",7","1",",7","0",",7","31",",7","1",",7","16",",7","31",",7","24",",7","0",",7","0",",7","-29",",7,13,","8",",,7,11,","5.0",",,7,11,","0.03",",,7,11,","43",",7,31,","5482","7","1758",",7","0.03",",,,7","5.0",",,,7","8.3",",7","19.0",",,,7","-2.4",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-02","0","7","0",",7","3",",7","0",",7","28",",7","3",",7","23",",7","28",",7","25",",7","0",",7","0",",7","-27",",7,13,","7",",,7,20,+","3.0",",,7,18,+","0.03",",,7,03,","40",",7,15,","7243","7","1761",",7","0.06",",,,7","7.0",",,,7","2.1",",7","13.9",",,,7","-9.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-03","0","7","0",",7","8",",7","4",",7","31",",7","6",",7","6",",7","31",",7","18",",7","0",",7","0",",7","-5",",7,31,+","7",",,7,31,+","6.0",",,7,24,","0.61",",,7,24,","46",",7,28,","8583","7","1340",",7","1.59",",,,7","18.0",",,,7","21.8",",7","31.7",",,,7","11.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-04","0","7","0",",7","0",",7","0",",7",,,"0",",7","4",",7","29",",7","11",",7","2",",7","0",",7","-5",",7,01,",,,"0.0",",,7,30,+","0.00",",T,7,09,+","81",",7,30,","9623","7","1039",",7","0.00",",T,,7","0.0",",,,7","30.3",",7","42.4",",,,7","18.3",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-05","62","7","62",",7","4",",7","3",",7",,,,,"0",",7","2",",7","0",",7","23",",7","3",",7","28",",7,02,",,,,,"0.52",",,7,19,","94",",7,27,+","9838","7","215",",7","0.94",",,,7",,,"60.1",",7","74.2",",,,7","45.9",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-06","175","7","112",",7","10",",7","8",",7",,,,,"0",",7","0",",7","0",",7","28",",7","1",",7","44",",7,03,",,,,,"1.15",",,7,29,","90",",7,29,","9879","7","41",",7","5.09",",,,7",,,"67.4",",7","79.7",",,,7","55.1",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-07","329","7","155",",7","5",",7","3",",7",,,,,"0",",7","0",",7","0",",7","31",",7","4",",7","45",",7,26,",,,,,"0.37",",,7,02,","95",",7,14,+","8","7","8",",7","0.94",",,,7",,,"69.7",",7","83.3",",,,7","56.1",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-08","492","7","163",",7","5",",7","4",",7",,,,,"0",",7","0",",7","0",",7","28",",7","9",",7","45",",7,30,+",,,,,"0.56",",,7,27,","105",",7,13,","67","7","59",",7","1.37",",,,7",,,"68.3",",7","83.9",",,,7","52.8",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-09","500","7","7",",7","6",",7","3",",7",,,,,"0",",7","4",",7","0",",7","14",",7","0",",7","26",",7,28,",,,,,"0.45",",,7,21,","84",",7,02,","409","7","341",",7","0.96",",,,7",,,"53.9",",7","66.1",",,,7","41.6",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-10","500","7","0",",7","7",",7","4",",7",,,"0",",7","0",",7","26",",7","0",",7","1",",7","0",",7","12",",7,15,",,,"0.0",",,7,31,+","0.31",",,7,05,","77",",7,19,","1251","7","843",",7","1.09",",,,7","0.0",",,,7","37.8",",7","49.5",",,,7","26.1",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-11","500","7","0",",7","9",",7","2",",7","20",",7","5",",7","5",",7","30",",7","19",",7","0",",7","0",",7","-2",",7,27,+","3",",,7,29,+","3.0",",,7,28,","0.32",",,7,28,","43",",7,15,+","2564","7","1313",",7","0.71",",,,7","8.0",",,,7","21.2",",7","28.8",",,,7","13.7",",,,7"
"USC00322304","DRAKE 9 NE, ND US","48.04861","-100.30944","471.5","2018-12","500","7","0","2,7","3",",7","2",",7","31",",7","2",",7","7","1,7","30","1,7","20","2,7","0","2,7","0","2,7","-15","1,7,29,","10",",,7,31,+","9.0",",,7,27,","0.30",",,7,27,","45","2,7,19,+","3892","7","1328","2,7","0.49",",,,7","10.0",",,,7","18.8","2,7","27.8","2,,,7","9.7","1,,,7"
