,PRCP,TAVG,TMAX,TMIN,STATE,YEAR,MONTH,CROP
103,1.57,,,,IA,2020,August,soybean
104,0.72,,,,IA,2020,September,soybean
105,0.88,,,,IA,2020,October,soybean
106,1.46,,,,IA,2020,November,soybean
107,0.46,,,,IA,2020,December,soybean
108,1.17,,,,IA,2021,January,soybean
109,0.21,,,,IA,2021,February,soybean
110,2.61,,,,IA,2021,March,soybean
111,2.44,,,,IA,2021,April,soybean
112,2.14,,,,IA,2021,May,soybean
113,2.17,,,,IA,2021,June,soybean
114,3.15,,,,IA,2021,July,soybean
115,2.97,,,,IA,2021,August,soybean
116,2.54,,,,IA,2021,September,soybean
117,3.99,,,,IA,2021,October,soybean
118,0.19,,,,IA,2021,November,soybean
119,0.8,,,,IA,2021,December,soybean
120,1.12,,,,IA,2022,March,soybean
121,0.3,,,,NE,2013,January,soybean
122,0.58,,,,NE,2013,February,soybean
123,2.54,,,,NE,2013,March,soybean
124,3.87,,,,NE,2013,April,soybean
125,6.4,,,,NE,2013,May,soybean
126,3.5,,,,NE,2013,June,soybean
127,2.26,,,,NE,2013,July,soybean
128,3.83,,,,NE,2013,August,soybean
129,1.29,,,,NE,2013,September,soybean
130,5.72,,,,NE,2013,October,soybean
131,1.15,,,,NE,2013,November,soybean
132,0.19,,,,NE,2013,December,soybean
133,0.1,,,,NE,2014,January,soybean
134,0.39,,,,NE,2014,February,soybean
135,0.44,,,,NE,2014,March,soybean
136,3.19,,,,NE,2014,April,soybean
137,8.23,,,,NE,2014,May,soybean
138,8.06,,,,NE,2014,June,soybean
139,0.74,,,,NE,2014,July,soybean
140,9.13,,,,NE,2014,August,soybean
141,4.63,,,,NE,2014,September,soybean
142,2.89,,,,NE,2014,October,soybean
143,0.33,,,,NE,2014,November,soybean
144,1.0,,,,NE,2014,December,soybean
145,0.14,,,,NE,2015,January,soybean
146,1.01,,,,NE,2015,February,soybean
147,0.55,,,,NE,2015,March,soybean
148,3.4,,,,NE,2015,April,soybean
149,8.87,,,,NE,2015,May,soybean
150,6.18,,,,NE,2015,June,soybean
151,4.67,,,,NE,2015,July,soybean
152,8.04,,,,NE,2015,August,soybean
153,2.54,,,,NE,2017,June,soybean
154,1.19,,,,NE,2017,July,soybean
155,2.0,,,,NE,2017,August,soybean
156,2.15,29.5,39.3,19.6,IL,2013,January,soybean
157,2.49,31.3,38.8,23.7,IL,2013,February,soybean
158,0.49,35.6,43.4,27.7,IL,2013,March,soybean
159,6.6,51.3,62.2,40.5,IL,2013,April,soybean
160,6.63,64.4,74.6,54.2,IL,2013,May,soybean
161,5.04,72.2,82.0,62.5,IL,2013,June,soybean
162,3.09,73.1,82.5,63.7,IL,2013,July,soybean
163,0.02,73.1,84.7,61.5,IL,2013,August,soybean
164,0.59,68.9,82.5,55.3,IL,2013,September,soybean
165,3.99,55.2,66.2,44.2,IL,2013,October,soybean
166,1.07,39.5,48.9,30.1,IL,2013,November,soybean
167,1.54,28.5,37.2,19.8,IL,2013,December,soybean
168,0.71,22.1,31.7,12.4,IL,2014,January,soybean
169,1.88,20.2,29.4,11.1,IL,2014,February,soybean
170,1.49,36.3,47.3,25.3,IL,2014,March,soybean
171,4.45,54.0,65.2,42.7,IL,2014,April,soybean
172,2.6,65.3,75.8,54.7,IL,2014,May,soybean
173,6.91,73.8,83.4,64.3,IL,2014,June,soybean
174,2.44,70.9,80.9,60.9,IL,2014,July,soybean
175,4.93,74.4,83.1,65.7,IL,2014,August,soybean
176,3.92,64.9,76.7,53.1,IL,2014,September,soybean
177,5.17,54.8,64.2,45.5,IL,2014,October,soybean
178,1.86,36.1,45.1,27.2,IL,2014,November,soybean
179,2.02,34.0,39.6,28.5,IL,2014,December,soybean
180,0.94,26.9,34.9,18.9,IL,2015,January,soybean
181,0.31,20.4,29.8,11.0,IL,2015,February,soybean
182,1.66,39.4,49.8,29.0,IL,2015,March,soybean
183,2.04,54.8,66.6,42.9,IL,2015,April,soybean
184,5.82,66.3,76.8,55.8,IL,2015,May,soybean
185,5.26,73.1,82.0,64.2,IL,2015,June,soybean
186,4.66,74.5,84.0,64.9,IL,2015,July,soybean
187,2.3,73.0,83.8,62.1,IL,2015,August,soybean
188,2.14,70.9,83.9,58.0,IL,2015,September,soybean
189,1.45,57.6,69.2,46.0,IL,2015,October,soybean
190,4.41,47.5,57.6,37.4,IL,2015,November,soybean
191,9.21,42.2,48.8,35.6,IL,2015,December,soybean
192,0.8,28.7,37.2,20.2,IL,2016,January,soybean
193,0.52,34.7,43.2,26.2,IL,2016,February,soybean
194,3.2,48.6,58.4,38.7,IL,2016,March,soybean
195,3.33,53.3,64.9,41.6,IL,2016,April,soybean
196,3.15,62.9,73.4,52.5,IL,2016,May,soybean
197,2.16,75.5,87.0,64.1,IL,2016,June,soybean
198,4.77,76.2,85.5,66.9,IL,2016,July,soybean
199,5.13,76.4,85.7,67.2,IL,2016,August,soybean
200,2.51,72.1,83.0,61.2,IL,2016,September,soybean
201,2.59,60.9,72.0,49.8,IL,2016,October,soybean
202,3.64,48.2,57.4,39.0,IL,2016,November,soybean
203,0.96,29.3,36.2,22.4,IL,2016,December,soybean
204,1.65,33.0,40.2,25.8,IL,2017,January,soybean
205,0.45,41.8,52.8,30.8,IL,2017,February,soybean
206,2.7,43.7,53.2,34.1,IL,2017,March,soybean
207,5.58,57.2,68.2,46.2,IL,2017,April,soybean
208,8.56,62.4,72.6,52.1,IL,2017,May,soybean
209,1.42,73.4,84.7,62.1,IL,2017,June,soybean
210,3.25,76.7,87.5,65.8,IL,2017,July,soybean
211,2.59,70.7,81.4,60.0,IL,2017,August,soybean
212,0.88,68.8,82.0,55.7,IL,2017,September,soybean
213,4.9,58.2,67.8,48.6,IL,2017,October,soybean
214,0.63,43.3,53.3,33.2,IL,2017,November,soybean
215,0.12,30.0,38.5,21.5,IL,2017,December,soybean
216,1.03,24.9,33.9,15.9,IL,2018,January,soybean
217,4.1,32.9,42.8,23.1,IL,2018,February,soybean
218,3.37,38.7,48.4,29.0,IL,2018,March,soybean
219,1.87,45.5,57.2,33.8,IL,2018,April,soybean
220,1.97,71.8,83.9,59.6,IL,2018,May,soybean
221,5.53,75.7,86.0,65.3,IL,2018,June,soybean
222,5.61,74.3,84.4,64.2,IL,2018,July,soybean
223,2.84,75.2,84.7,65.8,IL,2018,August,soybean
224,4.54,71.1,82.7,59.5,IL,2018,September,soybean
225,2.59,55.2,66.3,44.0,IL,2018,October,soybean
226,2.5,35.5,42.5,28.6,IL,2018,November,soybean
227,4.4,34.7,42.6,26.8,IL,2018,December,soybean
228,,24.8,32.7,17.0,IL,2019,January,soybean
229,1.55,30.6,38.5,22.7,IL,2019,February,soybean
230,4.92,37.6,47.1,28.1,IL,2019,March,soybean
231,5.0,53.6,63.7,43.6,IL,2019,April,soybean
232,5.05,63.9,73.7,54.0,IL,2019,May,soybean
233,4.38,71.9,81.6,62.1,IL,2019,June,soybean
234,1.44,77.4,87.6,67.2,IL,2019,July,soybean
235,6.55,72.9,82.8,62.9,IL,2019,August,soybean
236,3.85,72.0,83.1,60.9,IL,2019,September,soybean
237,2.26,53.5,63.8,43.2,IL,2019,October,soybean
238,2.06,36.9,46.0,27.8,IL,2019,November,soybean
239,1.28,34.6,43.8,25.3,IL,2019,December,soybean
240,3.77,32.3,38.8,25.9,IL,2020,January,soybean
241,1.84,32.0,40.1,24.0,IL,2020,February,soybean
242,3.82,45.1,53.6,36.6,IL,2020,March,soybean
243,5.18,50.2,61.1,39.2,IL,2020,April,soybean
244,5.47,60.8,70.2,51.4,IL,2020,May,soybean
245,4.71,74.4,85.5,63.2,IL,2020,June,soybean
246,4.43,77.0,86.7,67.2,IL,2020,July,soybean
247,0.49,72.4,83.7,61.1,IL,2020,August,soybean
248,1.73,66.3,78.2,54.4,IL,2020,September,soybean
249,1.97,52.8,64.6,41.1,IL,2020,October,soybean
250,2.05,47.0,57.6,36.3,IL,2020,November,soybean
251,1.4,34.1,42.9,25.3,IL,2020,December,soybean
252,3.36,29.4,35.3,23.5,IL,2021,January,soybean
253,1.72,22.4,30.1,14.8,IL,2021,February,soybean
254,4.29,46.2,57.0,35.3,IL,2021,March,soybean
255,2.27,53.8,64.3,43.3,IL,2021,April,soybean
256,5.37,61.6,71.9,51.3,IL,2021,May,soybean
257,6.46,75.2,85.6,64.8,IL,2021,June,soybean
258,4.23,74.6,83.3,65.9,IL,2021,July,soybean
259,1.65,76.1,86.4,65.7,IL,2021,August,soybean
260,3.2,70.7,83.1,58.3,IL,2021,September,soybean
261,6.57,60.2,69.1,51.3,IL,2021,October,soybean
262,0.86,41.0,51.0,30.9,IL,2021,November,soybean
263,2.32,41.2,51.0,31.4,IL,2021,December,soybean
264,0.51,23.8,33.8,13.8,IL,2022,January,soybean
265,3.69,28.6,38.3,18.9,IL,2022,February,soybean
266,5.07,43.3,53.4,33.2,IL,2022,March,soybean
267,3.54,50.6,61.3,40.0,IL,2022,April,soybean
268,3.52,66.0,76.0,55.9,IL,2022,May,soybean
269,0.85,74.4,85.8,62.9,IL,2022,June,soybean
270,3.61,76.5,86.0,67.0,IL,2022,July,soybean
271,11.33,73.8,84.0,63.6,IL,2022,August,soybean
272,5.2,66.6,77.4,55.8,IL,2022,September,soybean
273,2.95,54.0,66.0,42.0,IL,2022,October,soybean
274,1.77,43.2,53.4,33.0,IL,2022,November,soybean
275,2.0,32.2,39.7,24.6,IL,2022,December,soybean
276,1.74,36.1,43.0,29.3,IL,2023,January,soybean
277,2.18,37.5,48.0,26.9,IL,2023,February,soybean
278,3.77,42.0,51.8,32.2,IL,2023,March,soybean
279,1.34,53.6,67.3,39.9,IL,2023,April,soybean
280,1.81,65.4,78.5,52.2,IL,2023,May,soybean
281,1.64,72.0,85.3,58.6,IL,2023,June,soybean
282,3.61,76.2,86.3,66.2,IL,2023,July,soybean
283,4.88,74.2,84.4,64.1,IL,2023,August,soybean
284,0.69,68.8,81.4,56.3,IL,2023,September,soybean
285,3.71,56.6,67.1,46.1,IL,2023,October,soybean
286,0.94,44.3,55.4,33.1,IL,2023,November,soybean
287,2.88,39.9,47.1,32.7,IL,2023,December,soybean
288,2.13,,,,NE,2019,July,soybean
289,0.58,,,,NE,2020,April,soybean
290,3.2,,,,NE,2020,May,soybean
291,2.51,,,,NE,2020,July,soybean
292,1.65,,,,NE,2020,August,soybean
293,0.18,,,,NE,2020,September,soybean
294,0.63,,,,NE,2020,October,soybean
295,1.63,,,,NE,2020,November,soybean
296,0.72,,,,NE,2020,December,soybean
297,0.99,,,,NE,2021,January,soybean
298,5.22,,,,NE,2021,March,soybean
299,4.23,,,,NE,2021,August,soybean
300,1.25,,,,NE,2021,September,soybean
301,1.87,,,,NE,2021,October,soybean
302,0.23,,,,NE,2021,November,soybean
303,0.29,,,,NE,2021,December,soybean
304,0.26,,,,NE,2022,February,soybean
305,0.77,,,,NE,2022,March,soybean
306,1.03,,,,NE,2022,April,soybean
307,3.37,,,,NE,2022,May,soybean
308,3.12,,,,NE,2022,July,soybean
309,0.65,,,,NE,2022,August,soybean
310,2.0,,,,NE,2022,September,soybean
311,0.33,,,,NE,2022,November,soybean
312,0.49,,,,NE,2023,January,soybean
313,1.59,,,,NE,2023,April,soybean
314,6.07,,,,NE,2023,July,soybean
315,0.94,,,,NE,2023,September,soybean
316,0.13,,,,NE,2023,November,soybean
317,0.36,25.5,35.6,15.3,NE,2013,January,soybean
318,0.64,27.9,37.8,18.1,NE,2013,February,soybean
319,1.87,33.8,44.2,23.4,NE,2013,March,soybean
320,1.26,75.5,86.4,64.6,NE,2013,July,soybean
321,1.15,74.8,85.7,64.0,NE,2013,August,soybean
322,5.66,70.2,83.2,57.1,NE,2013,September,soybean
323,3.41,52.0,65.5,38.5,NE,2013,October,soybean
324,1.44,36.8,49.2,24.4,NE,2013,November,soybean
325,0.18,22.3,33.8,10.8,NE,2013,December,soybean
326,0.16,21.2,35.4,6.9,NE,2014,January,soybean
327,0.71,21.3,32.5,10.1,NE,2014,February,soybean
328,0.13,35.2,50.5,20.0,NE,2014,March,soybean
329,3.46,51.1,64.6,37.6,NE,2014,April,soybean
330,6.47,62.1,74.9,49.4,NE,2014,May,soybean
331,9.08,71.8,82.8,60.8,NE,2014,June,soybean
332,0.97,,,,NE,2014,July,soybean
333,9.34,73.5,83.0,64.0,NE,2014,August,soybean
334,5.69,54.9,67.8,41.9,NE,2014,October,soybean
335,0.43,33.0,44.8,21.1,NE,2014,November,soybean
336,1.24,30.1,37.1,23.2,NE,2014,December,soybean
337,0.14,26.1,38.6,13.6,NE,2015,January,soybean
338,1.45,20.5,31.9,9.1,NE,2015,February,soybean
339,0.83,41.7,57.4,26.0,NE,2015,March,soybean
340,3.3,53.4,65.8,41.0,NE,2015,April,soybean
341,9.94,60.1,70.2,50.0,NE,2015,May,soybean
342,4.82,71.3,82.2,60.5,NE,2015,June,soybean
343,6.44,74.6,84.8,64.3,NE,2015,July,soybean
344,7.36,71.5,81.8,61.3,NE,2015,August,soybean
345,7.41,70.4,81.3,59.5,NE,2015,September,soybean
346,0.53,56.3,68.1,44.5,NE,2015,October,soybean
347,2.08,44.9,55.4,34.4,NE,2015,November,soybean
348,6.23,33.5,41.9,25.1,NE,2015,December,soybean
349,0.89,23.6,32.0,15.3,NE,2016,January,soybean
350,1.06,33.7,43.6,23.7,NE,2016,February,soybean
351,1.38,46.1,59.5,32.6,NE,2016,March,soybean
352,4.51,53.9,65.5,42.2,NE,2016,April,soybean
353,6.46,60.5,72.1,48.9,NE,2016,May,soybean
354,3.8,76.1,88.2,64.1,NE,2016,June,soybean
355,4.24,75.6,85.2,65.9,NE,2016,July,soybean
356,12.34,73.4,83.2,63.5,NE,2016,August,soybean
357,1.44,56.9,69.2,44.5,NE,2016,October,soybean
358,0.95,46.6,58.6,34.6,NE,2016,November,soybean
359,2.16,25.5,35.6,15.4,NE,2016,December,soybean
360,1.19,26.5,34.3,18.7,NE,2017,January,soybean
361,0.86,37.1,49.5,24.6,NE,2017,February,soybean
362,2.83,,,,NE,2017,March,soybean
363,2.83,52.4,63.5,41.3,NE,2017,April,soybean
364,7.68,60.4,72.0,48.8,NE,2017,May,soybean
365,2.15,77.3,87.5,67.0,NE,2017,July,soybean
366,4.48,70.0,80.8,59.2,NE,2017,August,soybean
367,3.0,68.6,80.5,56.7,NE,2017,September,soybean
368,4.89,54.9,66.4,43.4,NE,2017,October,soybean
369,0.09,39.4,51.5,27.3,NE,2017,November,soybean
370,0.5,28.2,39.3,17.1,NE,2017,December,soybean
371,1.09,20.0,30.4,9.7,NE,2018,January,soybean
372,0.95,21.8,31.9,11.8,NE,2018,February,soybean
373,3.61,39.1,49.1,29.1,NE,2018,March,soybean
374,0.39,40.5,53.2,27.7,NE,2018,April,soybean
375,3.09,,,,IL,2014,May,soybean
376,5.48,,,,IL,2014,June,soybean
377,5.03,,,,IL,2021,July,soybean
378,6.44,,,,IL,2013,April,soybean
379,4.5,,,,IL,2023,August,soybean
380,0.75,,,,IL,2023,September,soybean
381,4.2,,,,IL,2023,October,soybean
382,0.65,,,,IL,2023,November,soybean
383,4.05,,,,IL,2023,December,soybean
384,3.27,,,,IL,2022,May,soybean
385,3.08,,,,IL,2022,June,soybean
386,4.2,,,,IL,2022,July,soybean
387,6.83,,,,IL,2022,August,soybean
388,3.32,,,,IL,2022,September,soybean
389,2.63,,,,IL,2022,October,soybean
390,2.16,,,,IL,2022,November,soybean
391,1.99,,,,IL,2022,December,soybean
392,1.7,,,,IL,2023,January,soybean
393,2.3,,,,IL,2023,February,soybean
394,2.26,,,,IL,2023,March,soybean
395,1.73,,,,IL,2023,April,soybean
396,2.17,,,,IL,2023,May,soybean
397,1.19,,,,IL,2023,June,soybean
398,3.26,,,,IL,2023,July,soybean
399,3.66,,,,IL,2023,August,soybean
400,1.86,,,,IL,2023,September,soybean
401,3.72,,,,IL,2023,October,soybean
402,0.85,,,,IL,2023,November,soybean
403,2.77,,,,IL,2023,December,soybean
404,2.85,,,,IL,2022,April,soybean
405,3.91,,,,IL,2022,May,soybean
406,2.63,,,,IL,2022,June,soybean
407,3.8,,,,IL,2022,July,soybean
408,7.44,,,,IL,2022,August,soybean
409,2.36,,,,IL,2023,March,soybean
410,4.33,,,,IL,2023,August,soybean
411,3.24,,,,IL,2021,August,soybean
412,2.97,,,,IL,2021,September,soybean
413,8.37,,,,IL,2021,October,soybean
414,1.1,,,,IL,2021,November,soybean
415,3.05,,,,IL,2021,December,soybean
416,0.66,,,,IL,2022,January,soybean
417,3.1,,,,IL,2022,February,soybean
418,4.74,,,,IL,2022,March,soybean
419,3.14,,,,IL,2022,April,soybean
420,4.3,,,,IL,2022,May,soybean
421,1.05,,,,IL,2022,June,soybean
422,4.37,,,,IL,2022,July,soybean
423,7.44,,,,IL,2022,August,soybean
424,3.49,,,,IL,2022,September,soybean
425,2.28,,,,IL,2022,October,soybean
426,1.47,,,,IL,2022,November,soybean
427,1.98,,,,IL,2022,December,soybean
428,1.87,,,,IL,2023,January,soybean
429,1.57,,,,IL,2023,February,soybean
430,3.25,,,,IL,2023,March,soybean
431,1.41,,,,IL,2023,April,soybean
432,1.62,,,,IL,2023,May,soybean
433,2.68,,,,IL,2023,June,soybean
434,3.78,,,,IL,2023,July,soybean
435,4.03,,,,IL,2023,August,soybean
436,0.67,,,,IL,2023,September,soybean
437,4.81,,,,IL,2023,October,soybean
438,0.66,,,,IL,2023,November,soybean
439,2.52,,,,IL,2023,December,soybean
440,4.1,,,,IA,2015,November,soybean
441,2.94,,,,IA,2015,December,soybean
442,0.15,,,,IA,2016,January,soybean
443,5.02,,,,IA,2016,April,soybean
444,7.75,,,,IA,2016,May,soybean
445,3.82,,,,IA,2016,June,soybean
446,2.54,,,,IA,2016,July,soybean
447,2.13,,,,IA,2020,July,soybean
448,1.95,,,,IA,2020,August,soybean
449,1.24,,,,IA,2020,September,soybean
450,1.09,,,,IA,2020,October,soybean
451,6.33,,,,IA,2018,June,soybean
452,3.3,,,,IA,2018,July,soybean
453,4.26,,,,IA,2018,August,soybean
454,5.15,,,,IA,2018,September,soybean
455,2.81,,,,IA,2018,October,soybean
456,0.95,,,,IA,2018,November,soybean
457,2.86,,,,IA,2018,December,soybean
458,0.09,,,,IA,2019,January,soybean
459,3.26,,,,IA,2019,April,soybean
460,7.05,,,,IA,2019,May,soybean
461,3.19,,,,IA,2019,June,soybean
462,5.48,,,,IA,2019,September,soybean
463,5.71,,,,IA,2019,October,soybean
464,3.24,,,,NE,2013,April,soybean
465,7.04,,,,NE,2013,May,soybean
466,3.67,,,,NE,2013,June,soybean
467,2.8,,,,NE,2013,August,soybean
468,2.69,,,,NE,2013,September,soybean
469,3.84,,,,NE,2013,October,soybean
470,1.34,,,,NE,2013,November,soybean
471,0.2,,,,NE,2014,March,soybean
472,2.37,,,,NE,2014,April,soybean
473,5.76,,,,NE,2014,May,soybean
474,8.45,,,,NE,2014,June,soybean
475,0.63,,,,NE,2014,July,soybean
476,9.37,,,,NE,2014,August,soybean
477,3.25,,,,NE,2014,September,soybean
478,2.39,,,,NE,2014,October,soybean
479,0.23,,,,NE,2014,November,soybean
480,1.33,,,,NE,2014,December,soybean
481,0.16,,,,NE,2015,January,soybean
482,1.16,,,,NE,2015,February,soybean
483,0.59,,,,NE,2015,March,soybean
484,4.13,,,,NE,2015,April,soybean
485,7.56,,,,NE,2015,May,soybean
486,5.41,,,,NE,2015,June,soybean
487,3.56,,,,NE,2015,July,soybean
488,6.54,,,,NE,2015,August,soybean
489,3.11,,,,NE,2015,September,soybean
490,0.57,,,,NE,2015,October,soybean
491,1.94,,,,NE,2015,November,soybean
492,4.52,,,,NE,2015,December,soybean
493,0.93,,,,NE,2016,January,soybean
494,0.89,,,,NE,2016,February,soybean
495,1.06,,,,NE,2016,March,soybean
496,6.91,,,,NE,2016,April,soybean
497,7.67,,,,NE,2016,May,soybean
498,2.22,,,,NE,2016,June,soybean
499,3.65,,,,NE,2016,July,soybean
500,4.91,,,,NE,2016,August,soybean
501,3.71,,,,NE,2016,September,soybean
502,1.52,,,,NE,2016,October,soybean
503,0.89,,,,NE,2016,November,soybean
504,1.08,,,,NE,2016,December,soybean
505,1.08,,,,NE,2017,January,soybean
506,0.56,,,,NE,2017,February,soybean
507,1.82,,,,NE,2017,March,soybean
508,3.44,,,,NE,2017,April,soybean
509,7.17,,,,NE,2017,May,soybean
510,2.79,,,,NE,2017,June,soybean
511,2.73,,,,NE,2017,July,soybean
512,4.18,,,,NE,2017,August,soybean
513,4.42,,,,NE,2017,September,soybean
514,5.79,,,,NE,2017,October,soybean
515,0.29,,,,NE,2017,November,soybean
516,0.28,,,,NE,2017,December,soybean
517,1.31,,,,NE,2018,January,soybean
518,0.64,,,,NE,2018,February,soybean
519,2.46,,,,NE,2018,March,soybean
520,0.48,,,,NE,2018,April,soybean
521,2.63,,,,NE,2018,May,soybean
522,6.69,,,,NE,2018,June,soybean
523,5.65,,,,NE,2018,July,soybean
524,3.58,,,,NE,2018,August,soybean
525,6.2,,,,NE,2018,September,soybean
526,2.88,,,,NE,2018,October,soybean
527,0.65,,,,NE,2018,November,soybean
528,4.3,,,,NE,2018,December,soybean
529,0.34,,,,NE,2019,January,soybean
530,1.7,,,,NE,2019,February,soybean
531,2.65,,,,NE,2019,March,soybean
532,1.33,,,,NE,2019,April,soybean
533,7.86,,,,NE,2019,May,soybean
534,4.07,,,,NE,2019,June,soybean
535,2.01,,,,NE,2019,July,soybean
536,3.73,,,,NE,2019,August,soybean
537,4.41,,,,NE,2019,September,soybean
538,4.87,,,,NE,2019,October,soybean
539,1.4,,,,NE,2019,November,soybean
540,2.21,,,,NE,2019,December,soybean
541,0.93,,,,NE,2020,January,soybean
542,0.03,,,,NE,2020,February,soybean
543,1.68,,,,NE,2020,March,soybean
544,0.95,,,,NE,2020,April,soybean
545,3.61,,,,NE,2020,May,soybean
546,2.15,,,,NE,2020,June,soybean
547,2.52,,,,NE,2020,July,soybean
548,1.55,,,,NE,2020,August,soybean
549,2.26,,,,NE,2020,September,soybean
550,0.83,,,,NE,2020,October,soybean
551,1.08,,,,NE,2020,November,soybean
552,0.93,,,,NE,2020,December,soybean
553,1.54,,,,NE,2021,January,soybean
554,0.97,,,,NE,2021,February,soybean
555,5.94,,,,NE,2021,March,soybean
556,2.63,,,,NE,2021,April,soybean
557,5.36,,,,NE,2021,May,soybean
558,3.6,,,,NE,2021,June,soybean
559,3.52,,,,NE,2021,July,soybean
560,7.27,,,,NE,2021,August,soybean
561,1.63,,,,NE,2021,September,soybean
562,4.49,,,,NE,2021,October,soybean
563,0.28,,,,NE,2021,November,soybean
564,0.45,,,,NE,2021,December,soybean
565,0.4,,,,NE,2022,January,soybean
566,0.09,,,,NE,2022,February,soybean
567,1.09,,,,NE,2022,March,soybean
568,1.33,,,,NE,2022,April,soybean
569,4.7,,,,NE,2022,May,soybean
570,2.81,,,,NE,2022,June,soybean
571,2.89,,,,NE,2022,July,soybean
572,1.17,,,,NE,2022,August,soybean
573,1.26,,,,NE,2022,September,soybean
574,0.13,,,,NE,2022,October,soybean
575,0.56,,,,NE,2022,November,soybean
576,0.72,,,,NE,2022,December,soybean
577,1.45,,,,NE,2023,January,soybean
578,1.45,,,,NE,2023,February,soybean
579,1.04,,,,NE,2023,March,soybean
580,1.92,,,,NE,2023,April,soybean
581,0.13,,,,NE,2023,May,soybean
